Date,strategy_value,benchmark_value
2022-07-01,8774.828852699355,8774.828852699357
2022-07-05,8791.4007959562,8791.4007959562
2022-07-06,8821.09234062666,8821.092340626661
2022-07-07,8953.207106162778,8953.207106162778
2022-07-08,8945.842344366989,8945.842344366989
2022-07-11,8843.648811351328,8843.648811351328
2022-07-12,8765.3919833883,8765.3919833883
2022-07-13,8719.35888572032,8719.358885720321
2022-07-14,8698.184054142272,8698.184054142273
2022-07-15,8864.363564820052,8864.363564820054
2022-07-18,8791.171108106204,8791.171108106206
2022-07-19,9028.701358241891,9028.701358241891
2022-07-20,9086.242730326867,9086.242730326867
2022-07-21,9086.242730326867,9178.769706181476
2022-07-22,9086.242730326867,9093.608194531982
2022-07-25,9086.242730326867,9104.656390839655
2022-07-26,9086.242730326867,8996.93911087482
2022-07-27,9086.242730326867,9230.556941057954
2022-07-28,9086.242730326867,9346.330153596547
2022-07-29,9086.242730326867,9482.587729344546
2022-08-01,9086.242730326867,9454.507511670707
2022-08-02,9086.242730326867,9392.132861005206
2022-08-03,9086.242730326867,9539.20894521088
2022-08-04,9086.242730326867,9532.764339633735
2022-08-05,9086.242730326867,9516.65247448621
2022-08-08,9086.242730326867,9505.604278178538
2022-08-09,9086.242730326867,9467.857503343645
2022-08-10,9086.242730326867,9666.720120016467
2022-08-11,9086.242730326867,9666.720120016467
2022-08-12,9086.242730326867,9830.368147478986
2022-08-15,9086.242730326867,9870.876795788467
2022-08-16,9086.242730326867,9890.211314929227
2022-08-17,9086.242730326867,9820.01041953996
2022-08-18,9086.242730326867,9848.55141773245
2022-08-19,9086.242730326867,9716.206261937006
2022-08-22,8897.044482187981,9513.890601011624
2022-08-23,8875.520242800503,9490.874052177634
2022-08-24,8903.932396440212,9521.25606521674
2022-08-25,9029.63387563897,9655.672626118121
2022-08-26,8723.989413589707,9328.837351711732
2022-08-29,8666.3046096795,9267.153169414878
2022-08-30,8571.167182565074,9165.419714508538
2022-08-31,8505.94876349572,9095.679599637924
2022-09-01,8532.6392670062,9124.220597830412
2022-09-02,8442.667447147118,9028.010889873245
2022-09-06,8410.81199324895,8993.94684714091
2022-09-07,8561.911917276695,9155.522767088161
2022-09-08,8617.875071057673,9215.3659345384
2022-09-09,8751.755866322499,9358.528896382191
2022-09-12,8845.816687346956,9459.111102401235
2022-09-13,8461.178634591532,9047.805487123327
2022-09-14,8493.464993672751,9082.330310374311
2022-09-15,8397.036164744488,8979.215918730679
2022-09-16,8298.885685686995,8874.260512240431
2022-09-19,8363.242951257907,8943.079768483074
2022-09-20,8267.245027512696,8840.426157358092
2022-09-21,8123.033017737181,8686.215701615956
2022-09-22,8054.800889857102,8613.252932752104
2022-09-23,7919.844145369967,8468.939424430346
2022-09-26,7841.495598703067,8385.158849518144
2022-09-27,7821.4782137209495,8363.753627680771
2022-09-28,7975.376393967893,8528.321811361933
2022-09-29,7808.778991306455,8350.173948157837
2022-09-30,7688.027666771516,8221.050743946304
2022-10-03,7891.001086547206,8438.096630872591
2022-10-04,8135.516787560149,8699.564990879566
2022-10-05,8116.575351800342,8679.310315520162
2022-10-06,8032.846402154232,8589.776305808793
2022-10-07,7808.778991306455,8350.173948157837
2022-10-10,7749.156427807838,8286.417658345716
2022-10-11,7700.081188279092,8233.939955100592
2022-10-12,7674.682743450105,8206.780596054721
2022-10-13,7877.225914910401,8423.366404871686
2022-10-14,7697.7138372429445,8231.408471885328
2022-10-17,7895.521649763288,8442.93061186244
2022-10-18,7988.291068973912,8542.131881144194
2022-10-19,7931.6822142860165,8481.598245325307
2022-10-20,7865.172393402825,8410.4771937174
2022-10-21,8056.307744262464,8614.864259748721
2022-10-24,8154.888471635349,8720.279744348292
2022-10-25,8285.110514050191,8859.530286239527
2022-10-26,8222.689694332375,8792.781732693495
2022-10-27,8178.780718926632,8745.82847880687
2022-10-28,8373.359370044729,8953.897574531424
2022-10-31,8312.876309915326,8889.221128500658
2022-11-01,8276.500292801074,8850.323104778468
2022-11-02,8068.791514085433,8628.213549012331
2022-11-03,7985.708265346239,8539.370007669608
2022-11-04,8100.647624851258,8662.278294153994
2022-11-07,8178.135018019715,8745.138010438224
2022-11-08,8222.259446016984,8792.321654584173
2022-11-09,8052.863787136349,8611.181527646164
2022-11-10,8495.402096393505,9084.401715480251
2022-11-11,8577.624848501911,9172.325100604332
2022-11-14,8577.624848501911,9094.298662900628
2022-11-15,8577.624848501911,9171.864320085682
2022-11-16,8512.188346443463,9101.89451736507
2022-11-17,8486.142235388614,9074.043987541225
2022-11-18,8524.672743432046,9115.24380662868
2022-11-21,8493.676229025135,9082.099920114988
2022-11-22,8607.975629562872,9204.317738230728
2022-11-23,8662.219858225295,9262.319890834351
2022-11-25,8660.282001286789,9260.247783319086
2022-11-28,8522.089810048246,9112.481933154093
2022-11-29,8507.452749606276,9096.830848525218
2022-11-30,8775.442598586014,9383.386460062799
2022-12-01,8768.985265126514,9376.481776376331
2022-12-02,8768.985265126514,9365.663970327982
2022-12-05,8768.985265126514,9197.182664284937
2022-12-06,8768.985265126514,9064.60711823017
2022-12-07,8754.067482155793,9049.18642386062
2022-12-08,8822.646203405677,9120.077085209205
2022-12-09,8756.73928331462,9051.948297335206
2022-12-12,8882.987324083728,9182.452438284034
2022-12-13,8950.230144754198,9251.962162895325
2022-12-14,8893.006578429326,9192.809463813732
2022-12-15,8893.006578429326,8967.938034573008
2022-12-16,8893.006578429326,8821.552418735982
2022-12-19,8817.596887589003,8746.748635025515
2022-12-20,8829.662891306692,8758.717689961159
2022-12-21,8961.687914379656,8889.681909019308
2022-12-22,8833.839258086442,8762.86050017304
2022-12-23,8884.653844869827,8813.266798312223
2022-12-27,8849.617115764704,8778.511584801914
2022-12-28,8739.635208638434,8669.413368099786
2022-12-29,8896.951396898296,8825.465541097865
