Date,Open,High,Low,Close,Volume,return_1d,log_return_1d,sma_5,close_sma_ratio_5,sma_10,close_sma_ratio_10,sma_20,close_sma_ratio_20,sma_50,close_sma_ratio_50,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_mid_20,bb_upper_20,bb_lower_20,bbp_20,momentum_5,momentum_10,momentum_20,volatility_5,volatility_10,volatility_20,volume_sma_5,volume_ratio_5,volume_sma_20,volume_ratio_20
2005-03-15,121.41999816894533,121.45999908447266,120.08000183105467,120.13999938964844,62438500,-0.008254911714036584,-0.00828917217272343,120.7759994506836,0.994734052593828,121.4120002746582,0.989523268852072,120.93299980163575,0.9934426466449352,119.5652001953125,1.004807412134944,121.00559429339306,120.64359034782869,53.538468520776114,0.36200394556436777,0.5306199832682909,-0.16861603770392308,120.93299980163575,122.94789475871333,118.91810484455816,0.3032154457477329,-0.017902414850207937,-0.00899120627816774,-0.0044746512608699884,0.0074237611932660265,0.007045814881308802,0.007317966183437314,59032800.0,1.0576916561640308,58247330.0,1.0719547144907757
2005-03-16,119.6999969482422,120.16000366210938,118.9000015258789,119.12000274658205,74874200,-0.008490066990580303,-0.008526312908655753,120.40599975585937,0.9893194939464406,121.20700073242188,0.9827815392408965,120.83250007629394,0.9858275105734747,119.54160018920898,0.9964732156675197,120.71550328619136,120.5307320069956,44.388808195092246,0.18477127919575764,0.46145024245378424,-0.2766789632580266,120.83250007629394,123.00070109863184,118.66429905395604,0.10508797107166587,-0.015293035095088281,-0.016918341613779697,-0.016593697287309972,0.0068261663483871185,0.0074398105047156,0.007481046805127041,59354920.0,1.2614657723403553,59798405.0,1.2521103196648806
2005-03-17,119.30999755859376,119.73999786376952,118.9800033569336,119.36000061035156,62584200,0.0020147570369024592,0.00201273013596227,120.03000030517578,0.9944180647078169,121.02100067138672,0.9862751088503612,120.7400001525879,0.9885704858332588,119.55220016479493,0.9983923377890291,120.50696441298524,120.44401116279975,38.53821580441045,0.06295325018548681,0.38175084400012477,-0.31879759381463796,120.7400001525879,122.99644490654237,118.48355539863343,0.19420932202797023,-0.01550641113941953,-0.015344007520385117,-0.015262754624986052,0.0067846497983648345,0.007506828041795264,0.0075011563541364954,58841960.0,1.0635981534265684,60151465.0,1.0404434871203885
2005-03-18,119.11000061035156,119.52999877929688,118.1500015258789,118.54000091552734,60232000,-0.0068699705984510695,-0.006893677485931724,119.66000061035156,0.9906401496815025,120.6020004272461,0.9829024435381346,120.65550003051757,0.9824666168185027,119.56280014038086,0.9914455062640501,120.20435464414557,120.3029733667055,38.45306280043364,-0.09861872255993376,0.28567693068811306,-0.3842956532480468,120.65550003051757,123.11022365759048,118.20077640344466,0.06909627388220119,-0.015366712214471279,-0.03414000103316661,-0.014056411829159177,0.006764619258490573,0.005803288934654061,0.0074432466368294665,59293060.0,1.0158355800830654,60256865.0,0.9995873499227017
2005-03-21,118.70999908447266,118.77999877929688,117.76000213623048,118.0999984741211,61244300,-0.0037118477982786002,-0.0037187537999654094,119.0520004272461,0.9920034778944619,120.13300018310547,0.9830770753590963,120.5409999847412,0.9797496162224545,119.55260009765625,0.9878496860599552,119.88060754106488,120.13979004132888,32.39592183517399,-0.2591825002640036,0.17670504449768976,-0.43588754476169334,120.5409999847412,123.24848729569013,117.83351267379228,0.04921275147830904,-0.02509493916826877,-0.038195312374276424,-0.01902152111584976,0.004390856593114573,0.005635921274741335,0.007456900343320947,64274640.0,0.9528532559653388,60932915.0,1.0051102921959338
2005-03-22,118.37000274658205,118.93000030517578,116.9000015258789,116.9000015258789,92472400,-0.01016085490047769,-0.010212828752209671,118.40400085449218,0.9872977321901347,119.59000015258789,0.9775064919869826,120.4560001373291,0.9704788586089852,119.52180007934571,0.9780642648309656,119.4220527694978,119.89980570685111,28.713856377091503,-0.4777529373533156,0.045813448127488686,-0.5235663854808043,120.4560001373291,123.50523470019431,117.40676557446389,-0.0830969277923971,-0.026968519063008234,-0.044388132297054406,-0.01433386989978025,0.004800886464574149,0.005974810844659275,0.007057494419477454,70281420.0,1.315744616429207,61521655.0,1.503087002454664
2005-03-23,116.9499969482422,117.72000122070312,116.75,117.0,70817300,0.0008554189291345438,0.0008550532668771358,117.98000030517578,0.9916935048089436,119.19300003051758,0.9816012682795459,120.333500289917,0.9722978199596483,119.4818000793457,0.9792286350080298,119.04942926649814,119.6850052841214,29.067426377758352,-0.635576017623265,-0.09046444502266204,-0.545111572600603,120.333500289917,123.72998359575469,116.9370169840793,0.009271798246798598,-0.01779720196189194,-0.03281806382278263,-0.020510648897745787,0.005126476316663832,0.005697699370304927,0.006824572169898539,69470040.0,1.019393396059654,61647890.0,1.148738423975257
2005-03-24,117.45999908447266,117.98999786376952,117.05999755859376,117.13999938964844,51932500,0.0011965759799010822,0.001195860653434692,117.53600006103515,0.9966308137831722,118.78300018310547,0.9861680476926469,120.17850036621094,0.9747167674142754,119.46100006103515,0.9805710594235704,118.75567082390587,119.49648632897525,17.910365396996212,-0.7408155050693779,-0.22053465703200523,-0.5202808480373726,120.17850036621094,123.8636248100657,116.49337592235618,0.08773427833224932,-0.018599205842418476,-0.033817210049178814,-0.02578175756151746,0.004912039451890458,0.005594136165768853,0.006610056981860803,67339700.0,0.771201831905993,60816335.0,0.8539235387992388
2005-03-28,117.41999816894533,117.94000244140624,117.30999755859376,117.30999755859376,46765500,0.001451239284882222,0.001450187254859763,117.28999938964844,1.0001705019102174,118.475,0.9901666812288986,119.97250022888184,0.9778073919839247,119.43580001831054,0.982201295931447,118.5332595523194,119.33452419783588,18.934166513126925,-0.8012646455164827,-0.33668065472890074,-0.46458399078758195,119.97250022888184,123.82009716641905,116.12490329134464,0.1540044716856036,-0.010376272544574183,-0.02558353556499393,-0.03392903513322654,0.004994628165678684,0.005630536854461834,0.006108924714895997,64646400.0,0.7234045515295515,60109615.0,0.7780036521611393
2005-03-29,117.13999938964844,117.9000015258789,116.25,116.52999877929688,71160300,-0.00664903925948257,-0.0066712425963195935,116.97599945068359,0.996187246328468,118.01399993896484,0.9874252109034904,119.76750030517579,0.9729684470525849,119.41399993896485,0.9758487182311785,118.225065587239,119.1267815742404,18.271263009225336,-0.9017159870013955,-0.4496877211833997,-0.4520282658179958,119.76750030517579,123.89435778014894,115.64064283020264,0.10775220061361876,-0.01329381638534266,-0.03805514804010712,-0.03398821659183038,0.00539232989009181,0.004805555675930505,0.006111498747969088,66629600.0,1.0679983070587247,60198565.0,1.1820929618505025
