Date,Open,High,Low,Close,Volume
2024-01-02,472.1600036621094,473.6700134277344,470.489990234375,472.6499938964844,123623700
2024-01-03,470.42999267578125,471.19000244140625,468.1700134277344,468.7900085449219,103585900
2024-01-04,468.29998779296875,470.9599914550781,467.04998779296875,467.2799987792969,84232200
2024-01-05,467.489990234375,470.44000244140625,466.42999267578125,467.9200134277344,86118900
2024-01-08,468.42999267578125,474.75,468.29998779296875,474.6000061035156,74879100
2024-01-09,471.8699951171875,474.92999267578125,471.3500061035156,473.8800048828125,65931400
2024-01-10,474.1600036621094,477.45001220703125,473.8699951171875,476.55999755859375,67310600
2024-01-11,477.5899963378906,478.1199951171875,472.260009765625,476.3500061035156,77940700
2024-01-12,477.8399963378906,478.6000061035156,475.2300109863281,476.67999267578125,58026400
2024-01-16,475.260009765625,476.6099853515625,473.05999755859375,474.92999267578125,85014900
2024-01-17,471.82000732421875,472.7900085449219,469.8699951171875,472.2900085449219,68843900
2024-01-18,474.010009765625,477.05999755859375,472.4200134277344,476.489990234375,91856200
2024-01-19,477.6499938964844,482.7200012207031,476.5400085449219,482.42999267578125,110834500
2024-01-22,484.010009765625,485.2200012207031,482.7799987792969,483.45001220703125,75844900
2024-01-23,484.010009765625,485.1099853515625,482.8900146484375,484.8599853515625,49945300
2024-01-24,487.80999755859375,488.7699890136719,484.8800048828125,485.3900146484375,81765000
2024-01-25,487.5799865722656,488.30999755859375,485.3900146484375,488.0299987792969,72525000
2024-01-26,487.5899963378906,489.1199951171875,486.5400085449219,487.4100036621094,76641600
2024-01-29,487.7300109863281,491.4200134277344,487.1700134277344,491.2699890136719,61322800
2024-01-30,490.55999755859375,491.6199951171875,490.1099853515625,490.8900146484375,58618400
2024-01-31,488.6199951171875,489.0799865722656,482.8599853515625,482.8800048828125,126011100
2024-02-01,484.6300048828125,489.2300109863281,483.79998779296875,489.20001220703125,91891600
2024-02-02,489.6499938964844,496.04998779296875,489.29998779296875,494.3500061035156,99228200
2024-02-05,493.70001220703125,494.3800048828125,490.2300109863281,492.54998779296875,75757100
2024-02-06,493.5199890136719,494.32000732421875,492.04998779296875,493.9800109863281,55918600
2024-02-07,496.2900085449219,498.5299987792969,495.3599853515625,498.1000061035156,70556500
2024-02-08,498.1000061035156,498.7099914550781,497.260009765625,498.32000732421875,52343600
2024-02-09,498.8399963378906,501.6499938964844,498.489990234375,501.20001220703125,63979400
2024-02-12,501.1700134277344,503.5,500.239990234375,500.9800109863281,56502300
2024-02-13,494.5299987792969,497.0899963378906,490.7200012207031,494.0799865722656,113099200
2024-02-14,496.7900085449219,499.07000732421875,494.3999938964844,498.57000732421875,68387800
2024-02-15,499.2900085449219,502.20001220703125,498.79998779296875,502.010009765625,61683000
2024-02-16,501.70001220703125,502.8699951171875,498.75,499.510009765625,75532900
2024-02-20,497.7200012207031,498.4100036621094,494.45001220703125,496.760009765625,71736700
2024-02-21,495.4200134277344,497.3699951171875,493.55999755859375,497.2099914550781,59293400
2024-02-22,504.010009765625,508.489990234375,503.0199890136719,507.5,76402500
2024-02-23,509.2699890136719,510.1300048828125,507.1000061035156,507.8500061035156,61321800
2024-02-26,508.29998779296875,508.75,505.8599853515625,505.989990234375,50386700
2024-02-27,506.70001220703125,507.1600036621094,504.75,506.92999267578125,48854500
