trial,lr,hidden_sizes,dropout,gamma,val_loss,val_acc,best_epoch
5,0.001,"[256, 128, 64, 32]",0.3,,1.0753068457479062,0.30027173913043476,9
7,0.001,"[512, 256, 128, 64]",0.3,,1.0791552844254866,0.34375,17
4,0.001,"[256, 128, 64, 32]",0.2,,1.0793730590654456,0.30027173913043476,11
0,0.0001,"[256, 128, 64, 32]",0.2,,1.0794051056322844,0.2907608695652174,22
2,0.0001,"[512, 256, 128, 64]",0.2,,1.0810700758643772,0.35190217391304346,8
6,0.001,"[512, 256, 128, 64]",0.2,,1.084135299143584,0.328804347826087,5
3,0.0001,"[512, 256, 128, 64]",0.3,,1.084581971168518,0.30842391304347827,29
1,0.0001,"[256, 128, 64, 32]",0.3,,1.0848336893579233,0.30570652173913043,28
